station,timestamp,temperature,humidity,pressure,status,final_anomaly,final_fault_type,severity,confidence,sensor_health,temporal_score,spatial_score
BHOPAL,2020-01-01 00:00:00,11.3,74.1,955.5,NORMAL,False,Normal,NORMAL,0.2,100,0,0
BHOPAL,2020-01-01 01:00:00,9.9,78.4,955.2,NORMAL,False,Normal,NORMAL,0.0,100,0,0
BHOPAL,2020-01-01 02:00:00,9.7,78.9,954.4,NORMAL,False,Normal,NORMAL,0.5,100,0,0
BHOPAL,2020-01-01 03:00:00,8.9,77.5,953.8,NORMAL,False,Normal,NORMAL,0.0,100,0,0
BHOPAL,2020-01-01 04:00:00,9.1,78.5,953.6,NORMAL,False,Normal,NORMAL,0.0,100,0,0
BHOPAL,2020-01-01 05:00:00,9.8,77.3,953.3,NORMAL,False,Normal,NORMAL,0.0,100,0,0
BHOPAL,2020-01-01 06:00:00,10.9,73.7,954.3,NORMAL,False,Normal,NORMAL,0.0,100,0,0
BHOPAL,2020-01-01 07:00:00,12.8,66.7,954.6,NORMAL,False,Normal,NORMAL,0.0,100,0,0
BHOPAL,2020-01-01 08:00:00,14.4,60.8,954.5,NORMAL,False,Normal,NORMAL,0.0,100,0,0
BHOPAL,2020-01-01 09:00:00,16.0,56.9,954.1,NORMAL,False,Normal,NORMAL,0.0,100,0,0
BHOPAL,2020-01-01 10:00:00,18.2,50.5,955.1,NORMAL,False,Normal,NORMAL,0.2,100,0,0
BHOPAL,2020-01-01 11:00:00,19.5,39.9,956.5,NORMAL,False,Normal,NORMAL,0.0,100,0,0
BHOPAL,2020-01-01 12:00:00,21.1,39.9,954.5,NORMAL,False,Normal,NORMAL,0.0,100,0,0
BHOPAL,2020-01-01 13:00:00,22.1,34.2,954.9,NORMAL,False,Normal,NORMAL,0.0,100,0,0
BHOPAL,2020-01-01 14:00:00,22.8,29.4,954.2,NORMAL,False,Normal,NORMAL,0.0,100,0,0
BHOPAL,2020-01-01 15:00:00,23.3,31.5,952.7,NORMAL,False,Normal,NORMAL,0.0,100,0,0
BHOPAL,2020-01-01 16:00:00,22.2,30.3,952.5,NORMAL,False,Normal,NORMAL,0.0,100,0,0
BHOPAL,2020-01-01 17:00:00,21.9,32.8,953.2,NORMAL,False,Normal,NORMAL,0.0,100,0,0
BHOPAL,2020-01-01 18:00:00,20.8,33.6,954.4,NORMAL,False,Normal,NORMAL,0.0,100,0,0
BHOPAL,2020-01-01 19:00:00,19.1,41.5,954.6,NORMAL,False,Normal,NORMAL,0.0,100,0,0
BHOPAL,2020-01-01 20:00:00,17.4,47.6,955.5,NORMAL,False,Normal,NORMAL,0.0,100,0,0
BHOPAL,2020-01-01 21:00:00,15.7,51.7,955.2,NORMAL,False,Normal,NORMAL,0.0,100,0,0
BHOPAL,2020-01-01 22:00:00,13.6,59.3,955.9,NORMAL,False,Normal,NORMAL,0.0,100,0,0
BHOPAL,2020-01-01 23:00:00,12.0,66.2,955.3,NORMAL,False,Normal,NORMAL,0.0,100,0,0
BHOPAL,2020-01-02 00:00:00,10.4,71.5,955.0,NORMAL,False,Normal,NORMAL,0.0,100,0,0
BHOPAL,2020-01-02 01:00:00,8.6,73.3,954.4,NORMAL,False,Normal,NORMAL,0.0,100,0,0
BHOPAL,2020-01-02 02:00:00,8.2,74.6,953.6,NORMAL,False,Normal,NORMAL,0.0,100,0,0
BHOPAL,2020-01-02 03:00:00,8.1,76.7,952.9,NORMAL,False,Normal,NORMAL,0.0,100,0,0
BHOPAL,2020-01-02 04:00:00,8.1,73.9,951.8,NORMAL,False,Normal,NORMAL,0.0,100,0,0
BHOPAL,2020-01-02 05:00:00,8.9,69.2,952.9,NORMAL,False,Normal,NORMAL,0.0,100,0,0
BHOPAL,2020-01-02 06:00:00,9.7,66.4,953.6,NORMAL,False,Normal,NORMAL,0.0,100,0,0
BHOPAL,2020-01-02 07:00:00,11.4,61.8,953.6,NORMAL,False,Normal,NORMAL,0.0,100,0,0
BHOPAL,2020-01-02 08:00:00,13.2,55.0,954.6,NORMAL,False,Normal,NORMAL,0.0,100,0,0
BHOPAL,2020-01-02 09:00:00,14.9,51.4,955.5,NORMAL,False,Normal,NORMAL,0.0,100,0,0
BHOPAL,2020-01-02 10:00:00,16.9,43.5,955.7,NORMAL,False,Normal,NORMAL,0.2,100,0,0
BHOPAL,2020-01-02 11:00:00,18.4,37.7,955.9,NORMAL,False,Normal,NORMAL,0.0,100,0,0
BHOPAL,2020-01-02 12:00:00,20.3,30.2,954.6,NORMAL,False,Normal,NORMAL,0.0,100,0,0
BHOPAL,2020-01-02 13:00:00,21.1,27.5,954.6,NORMAL,False,Normal,NORMAL,0.0,100,0,0
BHOPAL,2020-01-02 14:00:00,22.0,24.7,952.6,NORMAL,False,Normal,NORMAL,0.0,100,0,0
